architecture,activation,optimizer,seq_length,grad_clipping,bidirectional,accuracy,f1_score,precision,recall,training_time,avg_epoch_time,epochs_trained
rnn,sigmoid,adam,25,False,False,0.66608,0.6645543416212403,0.6691574156355582,0.66608,34.383185386657715,4.895453861781529,7
rnn,sigmoid,adam,50,False,False,0.67968,0.6795226245853556,0.6800336332966199,0.6796800000000001,60.64919686317444,6.726641946368748,9
rnn,sigmoid,adam,100,False,False,0.62688,0.6240684870095898,0.6307926842865292,0.62688,100.8318419456482,11.18982712427775,9
rnn,sigmoid,sgd,25,False,False,0.5,0.3333333333333333,0.25,0.5,21.071304321289062,5.243852138519287,4
rnn,sigmoid,sgd,50,False,False,0.49924,0.33553314059749967,0.4476115036755769,0.49924,41.70203900337219,6.934508999188741,6
rnn,sigmoid,sgd,100,False,False,0.5,0.3333333333333333,0.25,0.5,45.817970752716064,11.436834394931793,4
rnn,sigmoid,rmsprop,25,False,False,0.5,0.3333333333333333,0.25,0.5,25.65583300590515,6.396229028701782,4
rnn,sigmoid,rmsprop,50,False,False,0.5,0.3333333333333333,0.25,0.5,51.33788752555847,8.543340802192688,6
rnn,sigmoid,rmsprop,100,False,False,0.5,0.3333333333333333,0.25,0.5,51.3744957447052,12.825399041175842,4
rnn,relu,adam,25,False,False,0.70412,0.7040609973389078,0.7042829151345408,0.70412,26.629371643066406,5.30759973526001,5
rnn,relu,adam,50,False,False,0.74072,0.7402859725660315,0.7423399694119119,0.74072,47.499494552612305,7.901315728823344,6
rnn,relu,adam,100,False,False,0.73356,0.7329312693581829,0.7357802867503074,0.73356,89.90366339683533,11.224937111139297,8
rnn,relu,sgd,25,False,False,0.49676,0.4961871454379493,0.4967451966544466,0.49676,65.75950384140015,4.371494325002034,15
rnn,relu,sgd,50,False,False,0.494,0.49136322696860524,0.49387294948042615,0.494,30.013559103012085,7.485278010368347,4
rnn,relu,sgd,100,False,False,0.50592,0.4901705644282718,0.5067546467807529,0.5059199999999999,76.77502107620239,12.781287670135498,6
rnn,relu,rmsprop,25,False,False,0.71296,0.7124032126196316,0.7146220330237358,0.71296,45.59533643722534,5.600072056055069,8
rnn,relu,rmsprop,50,False,False,0.7656,0.765336334157831,0.7667990915921667,0.7656000000000001,54.31171941757202,7.745191744395664,7
rnn,relu,rmsprop,100,False,False,0.81164,0.8116216115566391,0.8117617297367649,0.81164,125.2684998512268,12.513791561126709,10
rnn,tanh,adam,25,False,False,0.70144,0.7014357790184695,0.7014513921568071,0.7014400000000001,28.27781891822815,5.634477949142456,5
rnn,tanh,adam,50,False,False,0.73376,0.7312416699453891,0.7428627282012,0.73376,30.11762833595276,7.512612879276276,4
rnn,tanh,adam,100,False,False,0.69968,0.6995791720407103,0.6999484286860473,0.69968,99.87588143348694,11.083850728140938,9
rnn,tanh,sgd,25,False,False,0.57116,0.5694117088858279,0.572334785901492,0.57116,64.93939542770386,4.316062307357788,15
rnn,tanh,sgd,50,False,False,0.59932,0.5966421108461433,0.602029491251749,0.59932,95.38022041320801,6.346813408533732,15
rnn,tanh,sgd,100,False,False,0.59644,0.5945363520653981,0.5982858036177667,0.59644,160.47452569007874,10.686817328135172,15
rnn,tanh,rmsprop,25,False,False,0.70576,0.7056868992183793,0.7059646279999501,0.7057599999999999,30.388784646987915,6.060001039505005,5
rnn,tanh,rmsprop,50,False,False,0.75224,0.751871063635123,0.7537491717781553,0.75224,47.02366614341736,7.82254163424174,6
rnn,tanh,rmsprop,100,False,False,0.75972,0.759518869662752,0.7605918009055717,0.75972,92.34837031364441,11.755278655460902,7
lstm,sigmoid,adam,25,False,False,0.709,0.7084220837059365,0.7106702191146395,0.709,35.35968899726868,5.87718911965688,6
lstm,sigmoid,adam,50,False,False,0.74848,0.7477747038167444,0.751290731460621,0.74848,44.443156719207764,8.872276830673218,5
lstm,sigmoid,adam,100,False,False,0.80872,0.8083270170231389,0.8112727834577249,0.80872,80.92968106269836,13.473680257797241,6
lstm,sigmoid,sgd,25,False,False,0.5,0.3333333333333333,0.25,0.5,59.74729585647583,4.966129680474599,12
lstm,sigmoid,sgd,50,False,False,0.5,0.3333333333333333,0.25,0.5,62.14086174964905,8.41589389528547,7
lstm,sigmoid,sgd,100,False,False,0.5,0.3333333333333333,0.25,0.5,76.08757662773132,15.201529121398925,5
lstm,sigmoid,rmsprop,25,False,False,0.5,0.3333333333333333,0.25,0.5,45.72930097579956,7.607324004173279,6
lstm,sigmoid,rmsprop,50,False,False,0.5,0.3333333333333333,0.25,0.5,45.986117124557495,9.178140830993652,5
lstm,sigmoid,rmsprop,100,False,False,0.5,0.3333333333333333,0.25,0.5,84.60736513137817,14.087169726689657,6
lstm,relu,adam,25,False,False,0.70756,0.7072684295200211,0.7083902547827046,0.70756,25.21385908126831,6.286251187324524,4
lstm,relu,adam,50,False,False,0.74224,0.742144150236095,0.7426007166008549,0.74224,50.25786209106445,8.358809987703959,6
lstm,relu,adam,100,False,False,0.51332,0.4231749987532862,0.5355305748086459,0.51332,67.33578252792358,13.45156216621399,5
lstm,relu,sgd,25,False,False,0.49848,0.3560963910370557,0.4868395271228757,0.49848000000000003,28.872625589370728,5.758046054840088,5
lstm,relu,sgd,50,False,False,0.50184,0.3803426415614052,0.5085298664000404,0.5018400000000001,111.0107159614563,7.38943174680074,15
lstm,relu,sgd,100,False,False,0.49448,0.4897142940130474,0.4942657860616039,0.49448000000000003,58.201927185058594,14.533525705337524,4
lstm,relu,rmsprop,25,False,False,0.71576,0.7157233142074091,0.715871432488056,0.71576,42.13946866989136,6.003754309245518,7
lstm,relu,rmsprop,50,False,False,0.75732,0.7571777936030457,0.7579242029207942,0.75732,72.14831328392029,8.605969220399857,8
lstm,relu,rmsprop,100,False,False,0.808,0.8079964167523279,0.8080229937932775,0.808,154.09700775146484,13.997440489855679,11
lstm,tanh,adam,25,False,False,0.71004,0.709829717542619,0.7106506225652984,0.71004,27.367912769317627,6.728769958019257,4
lstm,tanh,adam,50,False,False,0.73556,0.7343096719437805,0.7400792126869451,0.73556,33.0215482711792,6.585819053649902,5
lstm,tanh,adam,100,False,False,0.80236,0.8022754406404053,0.8028781183319733,0.80236,65.71550917625427,8.201251775026321,8
lstm,tanh,sgd,25,False,False,0.50208,0.4285075213148147,0.5042882155877296,0.50208,67.92078375816345,4.517696968714396,15
lstm,tanh,sgd,50,False,False,0.49544,0.49362189681751373,0.49537355675424477,0.49544,22.871593475341797,5.701030373573303,4
lstm,tanh,sgd,100,False,False,0.5078,0.4768473059023959,0.5102182887220804,0.5078,114.3283200263977,7.609321037928264,15
lstm,tanh,rmsprop,25,False,False,0.71168,0.7116529811923049,0.7117593694445578,0.71168,29.31217360496521,5.84705924987793,5
lstm,tanh,rmsprop,50,False,False,0.76004,0.7598479363698345,0.7608745464394445,0.76004,31.832699298858643,6.351457166671753,5
lstm,tanh,rmsprop,100,False,False,0.81532,0.8153198933287704,0.8153207285170112,0.81532,62.576833724975586,7.808775097131729,8
lstm,sigmoid,adam,50,True,False,0.7352,0.7326911097533866,0.7443745380323784,0.7352000000000001,44.32628512382507,8.846963500976562,5
lstm,sigmoid,sgd,50,True,False,0.5,0.3333333333333333,0.25,0.5,98.21806168556213,7.5442591813894415,13
lstm,sigmoid,rmsprop,50,True,False,0.5,0.3333333333333333,0.25,0.5,48.494624614715576,9.681618452072144,5
lstm,relu,adam,50,True,False,0.7488,0.748030010351184,0.7518788444810667,0.7488,36.04900598526001,8.995742917060852,4
lstm,relu,sgd,50,True,False,0.50588,0.43012467181884156,0.5125569290159366,0.50588,37.69616723060608,8.648536443710327,4
lstm,relu,rmsprop,50,True,False,0.75516,0.7534017262949189,0.7626509236922836,0.75516,63.4987096786499,9.05747195652553,7
lstm,tanh,adam,50,True,False,0.74632,0.7459593175101169,0.7477268730172678,0.7463200000000001,34.54281497001648,6.892431402206421,5
lstm,tanh,sgd,50,True,False,0.49408,0.4561036458249873,0.49178586515939093,0.49407999999999996,23.56066370010376,5.868036389350891,4
lstm,tanh,rmsprop,50,True,False,0.76132,0.7612591875582695,0.7615865269547374,0.76132,38.2269024848938,7.628720426559449,5
